"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1623","User login with wrong email or password","LMS system","Wed Mar 18 08:15:46 UTC 2026","passed","Wed Mar 18 08:15:47 UTC 2026","Authorization","Authentication","",""
"","1461","Navigation from login page to registration page","LMS system","Wed Mar 18 08:15:46 UTC 2026","passed","Wed Mar 18 08:15:48 UTC 2026","Authorization","Authentication","",""
"","2495","Create course","LMS system","Wed Mar 18 08:15:51 UTC 2026","passed","Wed Mar 18 08:15:53 UTC 2026","Courses","Courses","",""
"","1776","Registration with correct email, username and password","LMS system","Wed Mar 18 08:15:47 UTC 2026","passed","Wed Mar 18 08:15:49 UTC 2026","Registration","Authentication","",""
"","1761","Check displaying of dashboard page","LMS system","Wed Mar 18 08:15:54 UTC 2026","passed","Wed Mar 18 08:15:56 UTC 2026","Dashboard","Dashboard","",""
"","1721","User login with wrong email or password","LMS system","Wed Mar 18 08:15:44 UTC 2026","passed","Wed Mar 18 08:15:46 UTC 2026","Authorization","Authentication","",""
"","2267","User login with wrong email or password","LMS system","Wed Mar 18 08:15:42 UTC 2026","passed","Wed Mar 18 08:15:44 UTC 2026","Authorization","Authentication","",""
"","3623","User login with correct email and password","LMS system","Wed Mar 18 08:15:42 UTC 2026","passed","Wed Mar 18 08:15:45 UTC 2026","Authorization","Authentication","",""
"","1675","Check displaying of empty courses list","LMS system","Wed Mar 18 08:15:50 UTC 2026","passed","Wed Mar 18 08:15:51 UTC 2026","Courses","Courses","",""
"","2881","Edit course","LMS system","Wed Mar 18 08:15:52 UTC 2026","passed","Wed Mar 18 08:15:54 UTC 2026","Courses","Courses","",""
